TRADE_DATE,HOUR,MARKET,RES_TYPE,TYPE,VALUE
2023-01-13,17,RTD,LESR,EN,1964.696
2023-01-13,18,RTD,LESR,EN,2167.245
2023-01-13,19,RTD,LESR,EN,1930.286
2023-01-13,20,RTD,LESR,EN,1103.576
2023-01-13,21,RTD,LESR,EN,555.597
2023-01-13,22,RTD,LESR,EN,387.643
2023-01-13,23,RTD,LESR,EN,44.193
2023-01-13,24,RTD,LESR,EN,140.974
2023-01-14,1,RTD,LESR,EN,-21.65
2023-01-14,2,RTD,LESR,EN,-43.56
2023-01-14,3,RTD,LESR,EN,-196.914
2023-01-14,4,RTD,LESR,EN,-354.883
2023-01-14,5,RTD,LESR,EN,-148.911
2023-01-14,6,RTD,LESR,EN,4.029
2023-01-14,7,RTD,LESR,EN,323.249
2023-01-14,8,RTD,LESR,EN,355.031
2023-01-14,9,RTD,LESR,EN,933.742
2023-01-14,10,RTD,LESR,EN,1130.562
2023-01-14,11,RTD,LESR,EN,544.81
2023-01-14,12,RTD,LESR,EN,578.408
2023-01-14,13,RTD,LESR,EN,546.652
2023-01-14,14,RTD,LESR,EN,291.875
2023-01-14,15,RTD,LESR,EN,563.486
2023-01-14,16,RTD,LESR,EN,560.943
2023-01-14,17,RTD,LESR,EN,704.604
2023-01-14,18,RTD,LESR,EN,992.482
2023-01-14,19,RTD,LESR,EN,376.378
2023-01-14,20,RTD,LESR,EN,249.918
2023-01-14,21,RTD,LESR,EN,39.84
2023-01-14,22,RTD,LESR,EN,47.894
2023-01-14,23,RTD,LESR,EN,-5.896
2023-01-14,24,RTD,LESR,EN,-209.432
2023-01-15,1,RTD,LESR,EN,44.345
2023-01-15,2,RTD,LESR,EN,31.716
2023-01-15,3,RTD,LESR,EN,-280.108
2023-01-15,4,RTD,LESR,EN,44.707
2023-01-15,5,RTD,LESR,EN,170.367
2023-01-15,6,RTD,LESR,EN,222.698
2023-01-15,7,RTD,LESR,EN,225.147
2023-01-15,8,RTD,LESR,EN,441.755
2023-01-15,9,RTD,LESR,EN,880.834
2023-01-15,10,RTD,LESR,EN,257.602
2023-01-15,11,RTD,LESR,EN,-893.61
2023-01-15,12,RTD,LESR,EN,-1234.078
2023-01-15,13,RTD,LESR,EN,-762.85
2023-01-15,14,RTD,LESR,EN,843.385
2023-01-15,15,RTD,LESR,EN,1043.372
2023-01-15,16,RTD,LESR,EN,713.276
2023-01-15,17,RTD,LESR,EN,800.13
2023-01-15,18,RTD,LESR,EN,1047.942
2023-01-15,19,RTD,LESR,EN,779.511
2023-01-15,20,RTD,LESR,EN,176.575
2023-01-15,21,RTD,LESR,EN,283.7
2023-01-15,22,RTD,LESR,EN,-87.875
2023-01-15,23,RTD,LESR,EN,-371.511
2023-01-15,24,RTD,LESR,EN,-294.182
2023-01-16,1,RTD,LESR,EN,-646.525
2023-01-16,2,RTD,LESR,EN,-114.033
2023-01-16,3,RTD,LESR,EN,-538.091
2023-01-16,4,RTD,LESR,EN,-313.802
2023-01-16,5,RTD,LESR,EN,13.395
2023-01-16,6,RTD,LESR,EN,675.861
2023-01-16,7,RTD,LESR,EN,1054.377
2023-01-16,8,RTD,LESR,EN,1270.804
2023-01-16,9,RTD,LESR,EN,129.0
2023-01-16,10,RTD,LESR,EN,-1024.77
2023-01-16,11,RTD,LESR,EN,-1533.7
2023-01-16,12,RTD,LESR,EN,-1634.5
2023-01-16,13,RTD,LESR,EN,-1514.072
2023-01-16,14,RTD,LESR,EN,-1268.544
2023-01-16,15,RTD,LESR,EN,-699.642
2023-01-16,16,RTD,LESR,EN,397.94
2023-01-16,17,RTD,LESR,EN,1731.903
2023-01-16,18,RTD,LESR,EN,2449.36
2023-01-16,19,RTD,LESR,EN,1453.42
