TRADE_DATE,HOUR,MARKET,RES_TYPE,TYPE,VALUE
2023-01-09,8,RTD,LESR,SOC,7670.11925
2023-01-09,9,RTD,LESR,SOC,6706.482083333333
2023-01-09,10,RTD,LESR,SOC,6520.6015
2023-01-09,11,RTD,LESR,SOC,6800.797583333333
2023-01-09,12,RTD,LESR,SOC,7694.55325
2023-01-09,13,RTD,LESR,SOC,8632.030333333334
2023-01-09,14,RTD,LESR,SOC,8796.513666666668
2023-01-09,15,RTD,LESR,SOC,8929.291333333333
2023-01-09,16,RTD,LESR,SOC,9029.701666666666
2023-01-09,17,RTD,LESR,SOC,8723.674916666667
2023-01-09,18,RTD,LESR,SOC,7833.449250000001
2023-01-09,19,RTD,LESR,SOC,7154.740583333333
2023-01-09,20,RTD,LESR,SOC,6329.497166666667
2023-01-09,21,RTD,LESR,SOC,5850.289083333333
2023-01-09,22,RTD,LESR,SOC,5838.502583333334
2023-01-09,23,RTD,LESR,SOC,6061.010416666667
2023-01-09,24,RTD,LESR,SOC,6323.8845833333335
2023-01-10,1,RTD,LESR,SOC,6678.102916666667
2023-01-10,2,RTD,LESR,SOC,7160.870583333333
2023-01-10,3,RTD,LESR,SOC,7868.0053333333335
2023-01-10,4,RTD,LESR,SOC,8576.058833333334
2023-01-10,5,RTD,LESR,SOC,8986.55775
2023-01-10,6,RTD,LESR,SOC,9172.71525
2023-01-10,7,RTD,LESR,SOC,8843.505333333333
2023-01-10,8,RTD,LESR,SOC,8030.03975
2023-01-10,9,RTD,LESR,SOC,8069.2579166666665
2023-01-10,10,RTD,LESR,SOC,8589.025
2023-01-10,11,RTD,LESR,SOC,9500.4675
2023-01-10,12,RTD,LESR,SOC,10406.6325
2023-01-10,13,RTD,LESR,SOC,11731.028083333333
2023-01-10,14,RTD,LESR,SOC,13042.229166666666
2023-01-10,15,RTD,LESR,SOC,13555.315166666667
2023-01-10,16,RTD,LESR,SOC,13724.73025
2023-01-10,17,RTD,LESR,SOC,13127.074416666668
2023-01-10,18,RTD,LESR,SOC,11648.249083333334
2023-01-10,19,RTD,LESR,SOC,10002.044
2023-01-10,20,RTD,LESR,SOC,8722.350666666667
2023-01-10,21,RTD,LESR,SOC,7905.0095833333335
2023-01-10,22,RTD,LESR,SOC,7619.026583333333
2023-01-10,23,RTD,LESR,SOC,7463.738583333333
2023-01-10,24,RTD,LESR,SOC,7436.953833333333
